IBXL - Carteira do Dia 03/10/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,392;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,747;
AMER3;AMERICANAS;ON      NM;596.086.291;0,556;
ASAI3;ASSAI;ON      NM;795.949.801;0,768;
AZUL4;AZUL;PN      N2;327.646.296;0,265;
B3SA3;B3;ON  EDJ NM;5.901.731.302;4,233;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,981;
BRML3;BR MALLS PAR;ON      NM;828.273.884;0,429;
BBDC4;BRADESCO;PN      N1;5.156.077.326;5,622;
BRAP4;BRADESPAR;PN      N1;251.025.058;0,328;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,008;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,382;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,762;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,671;
CCRO3;CCR SA;ON      NM;1.115.681.435;0,768;
CSAN3;COSAN;ON      NM;1.171.063.698;1,119;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,096;
ELET3;ELETROBRAS;ON      N1;2.021.139.464;4,773;
ELET6;ELETROBRAS;PNB     N1;279.941.393;0,695;
EMBR3;EMBRAER;ON      NM;734.632.205;0,470;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,627;
GGBR4;GERDAU;PN      N1;1.111.956.242;1,494;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,677;
HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,853;
ITSA4;ITAUSA;PN      N1;4.736.060.282;2,533;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.799.907.051;7,398;
JBSS3;JBS;ON      NM;1.134.986.483;1,567;
KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,700;
RENT3;LOCALIZA;ON  EJS NM;893.978.241;3,002;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,207;
LREN3;LOJAS RENNER;ON  EJ  NM;970.515.779;1,486;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,708;
MRFG3;MARFRIG;ON      NM;316.724.584;0,172;
CASH3;MELIUZ;ON      NM;657.963.256;0,041;
MULT3;MULTIPLAN;ON  EJ  N2;268.145.328;0,356;
PETR3;PETROBRAS;ON      N2;3.701.760.571;6,730;
PETR4;PETROBRAS;PN      N2;4.566.441.248;7,479;
PRIO3;PETRORIO;ON  ATZ NM;839.159.130;1,270;
PETZ3;PETZ;ON      NM;335.672.329;0,188;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,494;
RDOR3;REDE D OR;ON  EJ  NM;932.048.593;1,522;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,235;
CSNA3;SID NACIONAL;ON;589.695.175;0,412;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,778;
TOTS3;TOTVS;ON      NM;519.851.955;0,839;
USIM5;USIMINAS;PNA     N1;515.014.562;0,213;
VALE3;VALE;ON      NM;4.547.296.398;18,004;
VIIA3;VIA;ON      NM;1.576.975.642;0,276;
VBBR3;VIBRA;ON  EJ  NM;1.114.442.976;1,057;
WEGE3;WEG;ON  EJ  NM;1.481.593.024;2,617;
Quantidade Teórica Total;;;77.837.425.796;100,000
Redutor;;;98.701.899,07332833
